CName,PIp,CIp,AngleCAntennaToPRadio (°),AnglePAntennaToCRadio (°),HDist (ft),VDist (ft),SpecialValueName,SpecialValue,PLocation,CLocation
radio1,192.168.1.254,192.168.1.22,60,15,100,150,dirt,0.5,None, None
Date (Year-Mon-Day),Time (Hour-Min-Sec),Channel,PTxPower,PRxGain,Bandwidth,PTemp (°C),PUpTime (Day-Hour:Min:Sec),PFreeMemory (%),DS0,DS1,DRSSI,DNoiseFloor,DSNR,DTxModulation,DRxModulation,CTemp (°C),CUpTime,ULinkUpTime,CTxPower,US0,US1,URSSI,USNoiseFloor,USNR,UTxModulation,UTxPackets (Pkts.),URxModulation,URxPackets (Pkts.),PingTimeAVG
2025-03-07,03-06-17,17,5.0,2.0,6.0,29.0,26-08:45:02,70,-81.0,-107.0,-81.0,-107.0,26.0,MCS 1 shortGI,MCS 10,33.0,0-12:38:52,0-00:15:26,7.3,-92.0,-94.0,-90.0,-96.0,6.0,MCS 10,6200,MCS 1 short GI,1513,0
2025-03-07,03-06-27,17,5.0,2.0,6.0,29.0,26-08:45:15,70,-81.0,-108.0,-81.0,-107.0,26.0,MCS 1 shortGI,MCS 10,33.0,0-12:39:04,0-00:15:38,7.3,-91.0,-95.0,-89.0,-97.0,8.0,MCS 10,6278,MCS 1 short GI,1543,0
2025-03-07,03-06-38,17,5.0,2.0,6.0,29.0,26-08:45:23,70,-81.0,-108.0,-81.0,-107.0,26.0,MCS 1 shortGI,MCS 10,33.0,0-12:39:13,0-00:15:46,7.3,-90.0,-92.0,-88.0,-97.0,9.0,MCS 10,6343,MCS 1 short GI,1560,0
2025-03-07,03-06-48,17,5.0,2.0,6.0,29.0,26-08:45:35,69,-81.0,-107.0,-81.0,-107.0,26.0,MCS 1,MCS 10 shortGI,33.0,0-12:39:25,0-00:15:58,7.3,-92.0,-96.0,-91.0,-97.0,6.0,MCS 10 short GI,6444,MCS 1,1589,0
2025-03-07,03-06-58,17,5.0,2.0,6.0,29.0,26-08:45:47,70,-81.0,-109.0,-81.0,-107.0,26.0,MCS 1 shortGI,MCS 10 shortGI,33.0,0-12:39:34,0-00:16:10,7.3,-90.0,-92.0,-88.0,-97.0,9.0,MCS 10 short GI,6527,MCS 0 short GI,1619,0
2025-03-07,03-07-09,17,5.0,2.0,6.0,29.0,26-08:45:54,70,-81.0,-107.0,-81.0,-107.0,26.0,MCS 0 shortGI,MCS 10,33.0,0-12:39:46,0-00:16:18,7.3,-91.0,-92.0,-88.0,-97.0,9.0,MCS 10,6590,MCS 1 short GI,1636,0
2025-03-07,03-07-19,17,5.0,2.0,6.0,29.0,26-08:46:06,70,-81.0,-106.0,-81.0,-107.0,26.0,MCS 1,MCS 10,33.0,0-12:39:55,0-00:16:29,7.3,-90.0,-93.0,-88.0,-97.0,9.0,MCS 10,6702,MCS 0,1667,0
2025-03-07,03-07-30,17,5.0,2.0,6.0,29.0,26-08:46:17,70,-81.0,-109.0,-81.0,-107.0,26.0,MCS 1,MCS 10,33.0,0-12:40:04,0-00:16:41,7.3,-90.0,-93.0,-88.0,-97.0,9.0,MCS 10,6781,MCS 1,1695,0
2025-03-07,03-07-40,17,5.0,2.0,6.0,29.0,26-08:46:25,69,-81.0,-106.0,-81.0,-107.0,26.0,MCS 0 shortGI,MCS 10 shortGI,33.0,0-12:40:16,0-00:16:48,7.3,-89.0,-92.0,-87.0,-97.0,10.0,MCS 10,6845,MCS 0 short GI,1710,0
2025-03-07,03-07-50,17,5.0,2.0,6.0,29.0,26-08:46:37,70,-80.0,-108.0,-80.0,-107.0,27.0,MCS 0 shortGI,MCS 10,33.0,0-12:40:25,0-00:17:00,7.3,-92.0,-95.0,-90.0,-96.0,6.0,MCS 10,6954,MCS 0 short GI,1741,0
